LocationId,LocationName,Zone,Building,Level,Type
1560,Z1-B1(A)-L1-F,Z1,Z1-B1,L1,F
1558,Z1-B1(A)-L1-M,Z1,Z1-B1,L1,M
1565,Z1-B1(CL)-L3-F,Z1,Z1-B1,L3,F
1559,Z1-B1(CL)-L3-M,Z1,Z1-B1,L3,M
1567,Z1-B1(L)-L2-F,Z1,Z1-B1,L2,F
1566,Z1-B1(L)-L2-M,Z1,Z1-B1,L2,M
1569,Z1-B1(L)-L3-F,Z1,Z1-B1,L3,F
1568,Z1-B1(L)-L3-M,Z1,Z1-B1,L3,M
1571,Z1-B1(L)-L4-F,Z1,Z1-B1,L4,F
1570,Z1-B1(L)-L4-M,Z1,Z1-B1,L4,M
1573,Z1-B1(L)-L5-F,Z1,Z1-B1,L5,F
1572,Z1-B1(L)-L5-M,Z1,Z1-B1,L5,M
1575,Z1-B5(CR)-L2-F,Z1,Z1-B5,L2,F
1574,Z1-B5(CR)-L2-M,Z1,Z1-B5,L2,M
1577,Z1-B5(CR)-L3-F,Z1,Z1-B5,L3,F
1576,Z1-B5(CR)-L3-M,Z1,Z1-B5,L3,M
1579,Z1-B5(CR)-L4-F,Z1,Z1-B5,L4,F
1578,Z1-B5(CR)-L4-M,Z1,Z1-B5,L4,M
1581,Z1-B5(CR)-L5-F,Z1,Z1-B5,L5,F
1580,Z1-B5(CR)-L5-M,Z1,Z1-B5,L5,M
1562,Z1-B5(DID)-L1-F,Z1,Z1-B5,L1,F
1561,Z1-B5(DID)-L1-M,Z1,Z1-B5,L1,M
1564,Z1-B68(CWW)-L1-F,Z1,Z1-B68,L1,F
1563,Z1-B68(CWW)-L1-M,Z1,Z1-B68,L1,M
1583,Z1-B68(NPCC)-B1-F,Z1,Z1-B68,B1,F
1582,Z1-B68(NPCC)-B1-M,Z1,Z1-B68,B1,M
1585,Z1-B68(NPCC)-B2-F,Z1,Z1-B68,B2,F
1584,Z1-B68(NPCC)-B2-M,Z1,Z1-B68,B2,M
1587,Z2-B16(G)-L2-F,Z2,Z2-B16,L2,F
1586,Z2-B16(G)-L2-M,Z2,Z2-B16,L2,M
1611,Z2-B16(SP)-L1-F,Z2,Z2-B16,L1,F
1610,Z2-B16(SP)-L1-M,Z2,Z2-B16,L1,M
1613,Z2-B16(T)-L1-F,Z2,Z2-B16,L1,F
1612,Z2-B16(T)-L1-M,Z2,Z2-B16,L1,M
1615,Z2-B16(T)-L3-F,Z2,Z2-B16,L3,F
1614,Z2-B16(T)-L3-M,Z2,Z2-B16,L3,M
1619,Z2-B18(CCA)-L3-F,Z2,Z2-B18,L3,F
1618,Z2-B18(CCA)-L3-M,Z2,Z2-B18,L3,M
1617,Z2-B18(CCA)-L4-F,Z2,Z2-B18,L4,F
1616,Z2-B18(CCA)-L4-M,Z2,Z2-B18,L4,M
1589,Z2-B22(FC)-L1-F,Z2,Z2-B22,L1,F
1588,Z2-B22(FC)-L1-M,Z2,Z2-B22,L1,M
1625,Z2-B22(O)-L2-F,Z2,Z2-B22,L2,F
1624,Z2-B22(O)-L2-M,Z2,Z2-B22,L2,M
1623,Z2-B22(O)-L3-F,Z2,Z2-B22,L3,F
1622,Z2-B22(O)-L3-M,Z2,Z2-B22,L3,M
1621,Z2-B22(O)-L4-F,Z2,Z2-B22,L4,F
1620,Z2-B22(O)-L4-M,Z2,Z2-B22,L4,M
1627,Z2-B23(C)-L1-F,Z2,Z2-B23,L1,F
1626,Z2-B23(C)-L1-M,Z2,Z2-B23,L1,M
1629,Z2-B27(CR)-L7-F,Z2,Z2-B27,L7,F
1628,Z2-B27(CR)-L7-M,Z2,Z2-B27,L7,M
1631,Z2-B31(C)-L1-F,Z2,Z2-B31,L1,F
1630,Z2-B31(C)-L1-M,Z2,Z2-B31,L1,M
1633,Z2-B31(CR)-L6-F,Z2,Z2-B31,L6,F
1632,Z2-B31(CR)-L6-M,Z2,Z2-B31,L6,M
1590,Z2-B56(CR)-L1-F(R),Z2,Z2-B56,L1,F
1591,Z2-B56(CR)-L1-M(R),Z2,Z2-B56,L1,M
1642,Z2-B56(CR)-L2-F(R),Z2,Z2-B56,L2,F
1643,Z2-B56(CR)-L2-M(R),Z2,Z2-B56,L2,M
1640,Z2-B56(CR)-L3-F(R),Z2,Z2-B56,L3,F
1641,Z2-B56(CR)-L3-M(R),Z2,Z2-B56,L3,M
1638,Z2-B56(CR)-L4-F(R),Z2,Z2-B56,L4,F
1639,Z2-B56(CR)-L4-M(R),Z2,Z2-B56,L4,M
1636,Z2-B56(CR)-L5-F(R),Z2,Z2-B56,L5,F
1637,Z2-B56(CR)-L5-M(R),Z2,Z2-B56,L5,M
1634,Z2-B56(CR)-L6-F(R),Z2,Z2-B56,L6,F
1635,Z2-B56(CR)-L6-M(L),Z2,Z2-B56,L6,M
1593,Z2-B58(C)-L1-F,Z2,Z2-B58,L1,F
1594,Z2-B58(C)-L1-H,Z2,Z2-B58,L1,H
1592,Z2-B58(C)-L1-M,Z2,Z2-B58,L1,M
1596,Z2-B58(C)-L2-F,Z2,Z2-B58,L2,F
1597,Z2-B58(C)-L2-H,Z2,Z2-B58,L2,H
1595,Z2-B58(C)-L2-M,Z2,Z2-B58,L2,M
1599,Z2-B58(C)-L3-F,Z2,Z2-B58,L3,F
1600,Z2-B58(C)-L3-H,Z2,Z2-B58,L3,H
1598,Z2-B58(C)-L3-M,Z2,Z2-B58,L3,M
1602,Z2-B58(C)-L4-F,Z2,Z2-B58,L4,F
1603,Z2-B58(C)-L4-H,Z2,Z2-B58,L4,H
1601,Z2-B58(C)-L4-M,Z2,Z2-B58,L4,M
1605,Z2-B58(O)-L5-F,Z2,Z2-B58,L5,F
1606,Z2-B58(O)-L5-H,Z2,Z2-B58,L5,H
1604,Z2-B58(O)-L5-M,Z2,Z2-B58,L5,M
1608,Z2-B58(O)-L6-F,Z2,Z2-B58,L6,F
1609,Z2-B58(O)-L6-H,Z2,Z2-B58,L6,H
1607,Z2-B58(O)-L6-M,Z2,Z2-B58,L6,M
1645,Z3-B34(C)-L1-F,Z3,Z3-B34,L1,F
1644,Z3-B34(C)-L1-M,Z3,Z3-B34,L1,M
1647,Z3-B34(C)-L2-F,Z3,Z3-B34,L2,F
1646,Z3-B34(C)-L2-M,Z3,Z3-B34,L2,M
1649,Z3-B34(C)-L3-F,Z3,Z3-B34,L3,F
1648,Z3-B34(C)-L3-M,Z3,Z3-B34,L3,M
1651,Z3-B34(CR)-L4-F,Z3,Z3-B34,L4,F
1650,Z3-B34(CR)-L4-M,Z3,Z3-B34,L4,M
1653,Z3-B34(CR)-L5-F,Z3,Z3-B34,L5,F
1652,Z3-B34(CR)-L5-M,Z3,Z3-B34,L5,M
1655,Z3-B37(C)-L1-F,Z3,Z3-B37,L1,F
1654,Z3-B37(C)-L1-M,Z3,Z3-B37,L1,M
1657,Z3-B39(C)-L1-F,Z3,Z3-B39,L1,F
1656,Z3-B39(C)-L1-M,Z3,Z3-B39,L1,M
1659,Z3-B39(C)-L2-F,Z3,Z3-B39,L2,F
1658,Z3-B39(C)-L2-M,Z3,Z3-B39,L2,M
1661,Z3-B43(OC)-L1-F,Z3,Z3-B43,L1,F
1660,Z3-B43(OC)-L1-M,Z3,Z3-B43,L1,M
1665,Z4-B50(CR)-L2-F,Z4,Z4-B50,L2,F
1664,Z4-B50(CR)-L2-M,Z4,Z4-B50,L2,M
1667,Z4-B50(CR)-L3-F,Z4,Z4-B50,L3,F
1666,Z4-B50(CR)-L3-M,Z4,Z4-B50,L3,M
1669,Z4-B50(CR)-L4-F,Z4,Z4-B50,L4,F
1668,Z4-B50(CR)-L4-M,Z4,Z4-B50,L4,M
1671,Z4-B50(CR)-L5-F,Z4,Z4-B50,L5,F
1670,Z4-B50(CR)-L5-M,Z4,Z4-B50,L5,M
1673,Z4-B50(CR)-L6-F,Z4,Z4-B50,L6,F
1672,Z4-B50(CR)-L6-M,Z4,Z4-B50,L6,M
1675,Z4-B51(C)-L1-F,Z4,Z4-B51,L1,F
1674,Z4-B51(C)-L1-M,Z4,Z4-B51,L1,M
1677,Z4-B51(C)-L4-F,Z4,Z4-B51,L4,F
1676,Z4-B51(C)-L4-M,Z4,Z4-B51,L4,M
1679,Z4-B51(C)-L6-F,Z4,Z4-B51,L6,F
1678,Z4-B51(C)-L6-M,Z4,Z4-B51,L6,M
1681,Z4-B51(C)-L7-F,Z4,Z4-B51,L7,F
1680,Z4-B51(C)-L7-M,Z4,Z4-B51,L7,M
1683,Z4-B51(C)-L8-F,Z4,Z4-B51,L8,F
1682,Z4-B51(C)-L8-M,Z4,Z4-B51,L8,M
1663,Z4-B51(M)-L2-F,Z4,Z4-B51,L2,F
1662,Z4-B51(M)-L2-M,Z4,Z4-B51,L2,M
1685,Z4-B52(C)-L1-F,Z4,Z4-B52,L1,F
1684,Z4-B52(C)-L1-M,Z4,Z4-B52,L1,M
1691,Z4-B52(C)-L6-F,Z4,Z4-B52,L6,F
1690,Z4-B52(C)-L6-M,Z4,Z4-B52,L6,M
1697,Z4-B52(C)-L9-F,Z4,Z4-B52,L9,F
1696,Z4-B52(C)-L9-M,Z4,Z4-B52,L9,M
1693,Z4-B52(FMS)-L7-F,Z4,Z4-B52,L7,F
1692,Z4-B52(FMS)-L7-M,Z4,Z4-B52,L7,M
1695,Z4-B52(FMS)-L8-F,Z4,Z4-B52,L8,F
1694,Z4-B52(FMS)-L8-M,Z4,Z4-B52,L8,M
1687,Z4-B52(HMS)-L4-F,Z4,Z4-B52,L4,F
1686,Z4-B52(HMS)-L4-M,Z4,Z4-B52,L4,M
1689,Z4-B52(HMS)-L5-F,Z4,Z4-B52,L5,F
1688,Z4-B52(HMS)-L5-M,Z4,Z4-B52,L5,M
1705,Z4-B53(CET)-L7-F,Z4,Z4-B53,L7,F
1704,Z4-B53(CET)-L7-M,Z4,Z4-B53,L7,M
1699,Z4-B53(FMS)-L4-F,Z4,Z4-B53,L4,F
1698,Z4-B53(FMS)-L4-M,Z4,Z4-B53,L4,M
1701,Z4-B53(FMS)-L5-F,Z4,Z4-B53,L5,F
1700,Z4-B53(FMS)-L5-M,Z4,Z4-B53,L5,M
1703,Z4-B53(FMS)-L6-F,Z4,Z4-B53,L6,F
1702,Z4-B53(FMS)-L6-M,Z4,Z4-B53,L6,M
1707,Z4-B54(C)-L1-F,Z4,Z4-B54,L1,F
1706,Z4-B54(C)-L1-M,Z4,Z4-B54,L1,M
1709,Z4-B81(HS)-L1-F,Z4,Z4-B81,L1,F
1708,Z4-B81(HS)-L1-M,Z4,Z4-B81,L1,M
1711,Z4-B81(HS)-L2-F,Z4,Z4-B81,L2,F
1710,Z4-B81(HS)-L2-M,Z4,Z4-B81,L2,M
1713,Z4-B81(HS)-L3-F,Z4,Z4-B81,L3,F
1712,Z4-B81(HS)-L3-M,Z4,Z4-B81,L3,M
1715,Z4-B81(HS)-L4-F,Z4,Z4-B81,L4,F
1714,Z4-B81(HS)-L4-M,Z4,Z4-B81,L4,M
1717,Z4-B81(HS)-L5-F,Z4,Z4-B81,L5,F
1716,Z4-B81(HS)-L5-M,Z4,Z4-B81,L5,M
1719,Z4-B83(LS)-L3-F,Z4,Z4-B83,L3,F
1718,Z4-B83(LS)-L3-M,Z4,Z4-B83,L3,M
1721,Z4-B83(LS)-L4-F,Z4,Z4-B83,L4,F
1720,Z4-B83(LS)-L4-M,Z4,Z4-B83,L4,M
1723,Z4-B83(LS)-L5-F,Z4,Z4-B83,L5,F
1722,Z4-B83(LS)-L5-M,Z4,Z4-B83,L5,M
1725,Z4-B83(LS)-L6-F,Z4,Z4-B83,L6,F
1724,Z4-B83(LS)-L6-M,Z4,Z4-B83,L6,M
1727,Z4-B83(LS)-L7-F,Z4,Z4-B83,L7,F
1726,Z4-B83(LS)-L7-M,Z4,Z4-B83,L7,M
1729,Z4-B83(LS)-L8-F,Z4,Z4-B83,L8,F
1728,Z4-B83(LS)-L8-M,Z4,Z4-B83,L8,M
1743,Z5-B72(CR)-L1-F,Z5,Z5-B72,L1,F
1742,Z5-B72(CR)-L1-M,Z5,Z5-B72,L1,M
1739,Z5-B72(CR)-L3-F,Z5,Z5-B72,L3,F
1738,Z5-B72(CR)-L3-M,Z5,Z5-B72,L3,M
1737,Z5-B72(CR)-L4-F,Z5,Z5-B72,L4,F
1736,Z5-B72(CR)-L4-M,Z5,Z5-B72,L4,M
1735,Z5-B72(CR)-L5-F,Z5,Z5-B72,L5,F
1734,Z5-B72(CR)-L5-M,Z5,Z5-B72,L5,M
1741,Z5-B72(OS)-L2-F,Z5,Z5-B72,L2,F
1740,Z5-B72(OS)-L2-M,Z5,Z5-B72,L2,M
1731,Z5-B73(M)-L1-F,Z5,Z5-B73,L1,F
1730,Z5-B73(M)-L1-M,Z5,Z5-B73,L1,M
1733,Z5-B73(MB)-L3-F,Z5,Z5-B73,L3,F
1732,Z5-B73(MB)-L3-M,Z5,Z5-B73,L3,M
